"customer_key","customer_id","customer_name","segment","city","country","signup_date"
39,"CUS000039","Jason Rivera","Corporate","London","United Kingdom","2021-11-01"
40,"CUS000040","Antonio Wall","Corporate","London","United Kingdom","2025-05-12"
41,"CUS000041","Randy Shah","Corporate","Rotterdam","Netherlands","2019-10-27"
42,"CUS000042","Spencer Johnston","Consumer","Nottingham","United Kingdom","2021-03-19"
43,"CUS000043","Tommy Evans","Online Reseller","Chicago","USA","2023-01-02"
44,"CUS000044","Steven Houston","Consumer","Bristol","United Kingdom","2022-03-13"
45,"CUS000045","Morgan Marsh","Consumer","Berlin","Germany","2024-01-20"
46,"CUS000046","Katherine Nelson","Consumer","Bristol","United Kingdom","2025-07-20"
47,"CUS000047","Mr. Michael Yates","Consumer","Birmingham","United Kingdom","2022-07-19"
48,"CUS000048","Sara Calhoun","Consumer","Madrid","Spain","2021-10-05"
49,"CUS000049","Ms. Susan Vargas","Corporate","Austin","USA","2023-11-22"
50,"CUS000050","Angela Patterson","Consumer","Manchester","United Kingdom","2022-09-20"
51,"CUS000051","Catherine Green","Consumer","Rotterdam","Netherlands","2022-06-05"
52,"CUS000052","Jesse Rogers","Consumer","Dublin","Ireland","2025-10-20"
53,"CUS000053","Diana Bean","Small Business","Manchester","United Kingdom","2020-07-27"
54,"CUS000054","Ruben Ruiz","Consumer","Amsterdam","Netherlands","2019-11-10"
55,"CUS000055","Amy Crane","Small Business","New York","USA","2019-05-08"
56,"CUS000056","Barry Bernard","Consumer","Austin","USA","2025-08-13"
57,"CUS000057","Andre Wright","Corporate","Nottingham","United Kingdom","2025-02-04"
58,"CUS000058","Lisa Allen","Corporate","Rotterdam","Netherlands","2020-08-31"
59,"CUS000059","Brian Gould","Small Business","London","United Kingdom","2025-08-12"
60,"CUS000060","David Wood","Consumer","Chicago","USA","2024-08-14"
61,"CUS000061","Tracey Higgins","Consumer","Cork","Ireland","2019-02-13"
62,"CUS000062","Carla Collins","Small Business","Paris","France","2020-07-28"
63,"CUS000063","Tanya Johnston","Corporate","London","United Kingdom","2025-05-06"
64,"CUS000064","Jaime David","Corporate","Paris","France","2024-06-03"
65,"CUS000065","Kevin Rivas","Consumer","Madrid","Spain","2024-06-20"
66,"CUS000066","Michael Turner","Consumer","Manchester","United Kingdom","2019-06-25"
67,"CUS000067","Renee Hogan","Consumer","Lyon","France","2024-02-06"
68,"CUS000068","Amanda Patel","Online Reseller","Amsterdam","Netherlands","2022-08-20"
69,"CUS000069","Andrea Holland","Corporate","Birmingham","United Kingdom","2022-01-25"
70,"CUS000070","Jason Henry","Corporate","Rotterdam","Netherlands","2025-05-24"
71,"CUS000071","Jack Snow","Consumer","Bristol","United Kingdom","2025-08-04"
72,"CUS000072","Christian Thompson","Consumer","Paris","France","2023-03-22"
73,"CUS000073","Marie Gilbert","Consumer","Madrid","Spain","2022-12-16"
74,"CUS000074","Patricia Marshall","Consumer","Chicago","USA","2024-05-28"
75,"CUS000075","Leslie Morris","Consumer","Amsterdam","Netherlands","2020-07-23"
76,"CUS000076","Timothy Ramirez","Consumer","London","United Kingdom","2022-02-24"
77,"CUS000077","Paul Hudson","Consumer","London","United Kingdom","2025-10-01"
78,"CUS000078","Gabrielle Snyder","Corporate","New York","USA","2023-08-26"
79,"CUS000079","John Kelly","Consumer","Austin","USA","2024-05-15"
80,"CUS000080","Douglas Carlson","Corporate","Dublin","Ireland","2023-08-11"
81,"CUS000081","Kristi Black","Consumer","Nottingham","United Kingdom","2025-08-23"
82,"CUS000082","David Russell","Consumer","Bristol","United Kingdom","2025-06-02"
83,"CUS000083","Cynthia Alvarez","Consumer","London","United Kingdom","2021-01-07"
84,"CUS000084","Joan Smith","Corporate","Cork","Ireland","2025-04-27"
85,"CUS000085","Jared Sanchez","Online Reseller","Lyon","France","2021-06-06"
86,"CUS000086","Jackie Tran","Small Business","Leeds","United Kingdom","2020-11-29"
87,"CUS000087","Zachary Pierce","Corporate","Leeds","United Kingdom","2025-07-14"
88,"CUS000088","Jesse Parker","Corporate","New York","USA","2024-09-23"
89,"CUS000089","Nathan Stewart","Corporate","Bristol","United Kingdom","2024-02-01"
90,"CUS000090","Tiffany Vaughn","Consumer","Berlin","Germany","2023-04-28"
91,"CUS000091","Parker Hill","Consumer","Nottingham","United Kingdom","2024-08-27"
92,"CUS000092","Paige Carlson","Corporate","Paris","France","2020-12-27"
93,"CUS000093","Dr. Elizabeth Ward","Small Business","Dublin","Ireland","2024-12-16"
94,"CUS000094","Michael Martinez","Consumer","Dublin","Ireland","2020-06-17"
95,"CUS000095","Anthony Carter","Small Business","Madrid","Spain","2023-11-03"
96,"CUS000096","Margaret Mullins","Small Business","Cork","Ireland","2024-12-10"
97,"CUS000097","Adam Mitchell","Consumer","Glasgow","United Kingdom","2023-04-11"
98,"CUS000098","Glen Sheppard","Corporate","Glasgow","United Kingdom","2025-06-17"
99,"CUS000099","Scott Wilson","Consumer","London","United Kingdom","2021-08-10"
100,"CUS000100","John Ray","Consumer","Madrid","Spain","2025-02-05"
101,"CUS000101","Brittany Shepherd","Consumer","London","United Kingdom","2019-01-30"
102,"CUS000102","Angela Wright","Consumer","Berlin","Germany","2023-03-17"
103,"CUS000103","Jennifer Carlson","Consumer","Lyon","France","2020-03-12"
104,"CUS000104","Patricia James","Corporate","Bristol","United Kingdom","2021-12-06"
105,"CUS000105","Elizabeth Chapman","Corporate","Rotterdam","Netherlands","2025-11-11"
106,"CUS000106","Keith Brown","Consumer","Bristol","United Kingdom","2021-04-14"
107,"CUS000107","Annette Farmer","Corporate","Glasgow","United Kingdom","2021-01-02"
108,"CUS000108","Deborah Miller","Consumer","Birmingham","United Kingdom","2022-06-10"
109,"CUS000109","Juan Moore","Consumer","Hamburg","Germany","2020-07-19"
110,"CUS000110","Michael Harrison","Corporate","Amsterdam","Netherlands","2024-01-04"
111,"CUS000111","Dwayne Campbell","Consumer","New York","USA","2024-09-13"
112,"CUS000112","Andrea Hall","Small Business","Manchester","United Kingdom","2025-11-20"
113,"CUS000113","Rick Lawrence","Consumer","Paris","France","2019-01-22"
114,"CUS000114","Christina Wilson","Consumer","New York","USA","2025-09-24"
115,"CUS000115","Chase Baker","Consumer","Nottingham","United Kingdom","2023-02-27"
116,"CUS000116","Anthony Sparks","Corporate","Nottingham","United Kingdom","2023-06-30"
117,"CUS000117","Samantha Morse","Consumer","Hamburg","Germany","2025-09-13"
118,"CUS000118","John Torres","Small Business","Glasgow","United Kingdom","2024-07-17"
119,"CUS000119","Dillon Fernandez","Small Business","London","United Kingdom","2024-10-23"
120,"CUS000120","Kyle Preston","Small Business","Nottingham","United Kingdom","2024-09-22"
121,"CUS000121","Lindsey Johnson","Corporate","Dublin","Ireland","2019-05-28"
122,"CUS000122","Michael Valencia","Consumer","Bristol","United Kingdom","2020-10-06"
123,"CUS000123","Alicia Hubbard","Small Business","Manchester","United Kingdom","2022-12-17"
124,"CUS000124","Laura Hines","Corporate","Lyon","France","2024-10-21"
125,"CUS000125","Joseph Ramos","Consumer","Bristol","United Kingdom","2020-01-05"
126,"CUS000126","Zachary Graham","Small Business","Hamburg","Germany","2025-07-15"
127,"CUS000127","Tracy Harrison","Consumer","Glasgow","United Kingdom","2025-10-19"
128,"CUS000128","Frank Garcia","Small Business","Barcelona","Spain","2025-06-12"
129,"CUS000129","Jason Simpson","Consumer","London","United Kingdom","2020-03-12"
130,"CUS000130","Jennifer Hodges","Consumer","Hamburg","Germany","2020-04-24"
131,"CUS000131","Brandon King","Small Business","Chicago","USA","2025-06-12"
132,"CUS000132","Raymond Hancock","Online Reseller","Leeds","United Kingdom","2025-04-25"
133,"CUS000133","April Booth","Small Business","Dublin","Ireland","2024-02-23"
134,"CUS000134","Anthony Stone","Consumer","Paris","France","2021-11-22"
135,"CUS000135","Kathleen Ramos","Small Business","Bristol","United Kingdom","2021-06-21"
136,"CUS000136","Derek Anderson","Small Business","Paris","France","2023-08-17"
137,"CUS000137","Stanley Washington","Corporate","Madrid","Spain","2021-12-14"
138,"CUS000138","Mark Lloyd","Consumer","Nottingham","United Kingdom","2022-11-01"
139,"CUS000139","Emily Smith","Consumer","London","United Kingdom","2022-12-19"
140,"CUS000140","Danny Skinner","Consumer","Birmingham","United Kingdom","2021-02-17"
141,"CUS000141","Travis Holland","Consumer","Dublin","Ireland","2021-09-18"
142,"CUS000142","Timothy Carter","Consumer","Amsterdam","Netherlands","2021-10-19"
143,"CUS000143","Jennifer Olson","Consumer","Rotterdam","Netherlands","2020-03-12"
144,"CUS000144","Jesus Thomas","Corporate","Nottingham","United Kingdom","2024-07-10"
145,"CUS000145","Kyle Francis","Online Reseller","Hamburg","Germany","2024-05-29"
146,"CUS000146","Benjamin Barton","Consumer","Manchester","United Kingdom","2025-06-11"
147,"CUS000147","Gina French","Consumer","Rotterdam","Netherlands","2024-09-24"
148,"CUS000148","Aaron Barber","Small Business","London","United Kingdom","2020-06-09"
149,"CUS000149","Lauren Keller","Consumer","Glasgow","United Kingdom","2025-01-23"
150,"CUS000150","Jill Washington","Consumer","Manchester","United Kingdom","2020-12-16"
151,"CUS000151","Phillip Bennett","Corporate","Dublin","Ireland","2024-02-28"
152,"CUS000152","Sheila Pollard","Consumer","Nottingham","United Kingdom","2021-05-13"
153,"CUS000153","James Chase","Consumer","Nottingham","United Kingdom","2025-11-14"
154,"CUS000154","Evan Kennedy","Consumer","Amsterdam","Netherlands","2021-08-29"
155,"CUS000155","Jane Mcneil","Consumer","Birmingham","United Kingdom","2021-01-23"
156,"CUS000156","Marissa Hernandez","Consumer","Dublin","Ireland","2023-03-05"
157,"CUS000157","Beth Sanford","Consumer","Leeds","United Kingdom","2021-01-06"
158,"CUS000158","Brian Kirk","Corporate","Hamburg","Germany","2020-02-14"
159,"CUS000159","Thomas Smith","Corporate","New York","USA","2023-04-10"
160,"CUS000160","Seth Booker","Online Reseller","Glasgow","United Kingdom","2020-09-04"
161,"CUS000161","Richard Baker","Consumer","Dublin","Ireland","2024-08-08"
162,"CUS000162","Jennifer Miller","Corporate","Glasgow","United Kingdom","2024-12-27"
163,"CUS000163","Michael Ferguson","Consumer","Chicago","USA","2025-04-21"
164,"CUS000164","Lori Clay","Consumer","Amsterdam","Netherlands","2020-10-31"
165,"CUS000165","Joshua Williamson II","Consumer","Glasgow","United Kingdom","2020-01-30"
166,"CUS000166","Donna Perez","Consumer","Manchester","United Kingdom","2023-01-15"
167,"CUS000167","William Hodges","Consumer","Munich","Germany","2023-08-14"
168,"CUS000168","Ashlee Jackson","Corporate","Glasgow","United Kingdom","2025-10-16"
169,"CUS000169","Allen Nguyen","Corporate","Birmingham","United Kingdom","2025-01-14"
170,"CUS000170","Ian Jordan","Consumer","Glasgow","United Kingdom","2022-08-24"
171,"CUS000171","Jason Maldonado","Small Business","Lyon","France","2024-01-05"
172,"CUS000172","Christopher Lynch","Corporate","Rotterdam","Netherlands","2024-03-14"
173,"CUS000173","Michael Jimenez","Small Business","Paris","France","2022-10-13"
174,"CUS000174","Crystal Little","Corporate","Birmingham","United Kingdom","2019-10-20"
175,"CUS000175","Michael Nolan","Consumer","Manchester","United Kingdom","2022-07-21"
176,"CUS000176","Dwayne Payne","Corporate","Lyon","France","2023-06-08"
177,"CUS000177","Tony Huerta","Small Business","Leeds","United Kingdom","2023-01-27"
178,"CUS000178","Victor Vaughn","Online Reseller","Austin","USA","2023-08-23"
179,"CUS000179","Eric Kidd","Consumer","Glasgow","United Kingdom","2021-08-19"
180,"CUS000180","Ashley James","Consumer","Paris","France","2023-06-15"
181,"CUS000181","Edward Lyons","Online Reseller","Nottingham","United Kingdom","2024-04-22"
182,"CUS000182","Ronald Foster","Small Business","Berlin","Germany","2024-11-16"
183,"CUS000183","Sean Osborne","Consumer","New York","USA","2020-09-28"
184,"CUS000184","Susan Mcgee","Consumer","Leeds","United Kingdom","2021-10-10"
185,"CUS000185","Stephanie Parsons","Corporate","Chicago","USA","2020-06-21"
186,"CUS000186","Robert Robinson","Consumer","Dublin","Ireland","2023-01-01"
187,"CUS000187","David Campos","Small Business","Rotterdam","Netherlands","2024-03-28"
188,"CUS000188","Melanie Taylor","Consumer","Barcelona","Spain","2020-07-07"
189,"CUS000189","Mark Williams","Corporate","Madrid","Spain","2024-02-14"
190,"CUS000190","Amanda Diaz","Consumer","Lyon","France","2024-12-26"
191,"CUS000191","Theodore Murphy","Consumer","Manchester","United Kingdom","2021-07-19"
192,"CUS000192","Curtis Buchanan","Consumer","Chicago","USA","2023-08-16"
193,"CUS000193","Holly Shaw","Consumer","Manchester","United Kingdom","2024-11-13"
194,"CUS000194","Christopher Sloan","Consumer","New York","USA","2024-04-05"
195,"CUS000195","Tracy Phillips","Small Business","Hamburg","Germany","2024-05-08"
196,"CUS000196","Regina Mcdonald","Consumer","Glasgow","United Kingdom","2022-04-14"
197,"CUS000197","Paul Perez","Consumer","Berlin","Germany","2021-02-11"
198,"CUS000198","Megan Sanders","Consumer","Birmingham","United Kingdom","2021-10-20"
199,"CUS000199","Kristin Davis","Corporate","Bristol","United Kingdom","2023-03-30"
200,"CUS000200","Dennis Martinez","Consumer","Nottingham","United Kingdom","2021-09-08"
201,"CUS000201","Paul Baker","Consumer","Cork","Ireland","2024-12-18"
202,"CUS000202","Mark Watson","Consumer","Chicago","USA","2019-10-08"
203,"CUS000203","Kaitlyn Harvey","Consumer","Manchester","United Kingdom","2024-02-09"
204,"CUS000204","Erin Bishop","Corporate","Munich","Germany","2024-07-08"
205,"CUS000205","Madison Marshall","Consumer","Nottingham","United Kingdom","2024-12-31"
206,"CUS000206","Marie Wilson","Consumer","Nottingham","United Kingdom","2020-05-27"
207,"CUS000207","Andrew Ferrell","Consumer","Austin","USA","2020-01-05"
208,"CUS000208","David Medina","Consumer","Leeds","United Kingdom","2023-09-18"
209,"CUS000209","Jacob Avery","Consumer","Glasgow","United Kingdom","2023-03-02"
210,"CUS000210","Kimberly Matthews","Consumer","Dublin","Ireland","2020-08-21"
211,"CUS000211","Stacey Pena","Consumer","Glasgow","United Kingdom","2025-02-02"
212,"CUS000212","Lisa Crosby","Small Business","Dublin","Ireland","2021-10-21"
213,"CUS000213","Michael Robinson","Consumer","New York","USA","2021-10-16"
214,"CUS000214","David Cox","Consumer","Leeds","United Kingdom","2019-05-18"
215,"CUS000215","Mrs. Stephanie Newman","Small Business","Bristol","United Kingdom","2024-11-04"
216,"CUS000216","Donald Donaldson","Consumer","Paris","France","2022-07-02"
217,"CUS000217","Samantha Davis","Corporate","Madrid","Spain","2019-06-22"
218,"CUS000218","Mark Maddox","Consumer","Austin","USA","2021-11-03"
219,"CUS000219","Gavin Zhang","Consumer","Cork","Ireland","2019-08-02"
220,"CUS000220","Christine Gallegos","Online Reseller","Amsterdam","Netherlands","2021-08-24"
221,"CUS000221","Laurie Li","Consumer","Lyon","France","2022-02-04"
222,"CUS000222","Raymond Kramer","Small Business","Munich","Germany","2019-02-06"
223,"CUS000223","Destiny Riggs","Corporate","Barcelona","Spain","2020-09-26"
224,"CUS000224","Ms. Rebecca Rodriguez","Consumer","Nottingham","United Kingdom","2024-08-09"
225,"CUS000225","Bonnie Howard","Consumer","Birmingham","United Kingdom","2019-09-03"
226,"CUS000226","Leah Smith","Consumer","Bristol","United Kingdom","2025-01-05"
227,"CUS000227","Cameron Fisher","Consumer","New York","USA","2022-07-21"
228,"CUS000228","Arthur West","Small Business","Barcelona","Spain","2023-12-02"
229,"CUS000229","Kevin Hayes","Corporate","New York","USA","2023-01-07"
230,"CUS000230","Luis Acosta","Small Business","Chicago","USA","2024-06-10"
231,"CUS000231","Mary Turner","Consumer","Lyon","France","2024-06-30"
232,"CUS000232","Amanda Lutz","Consumer","London","United Kingdom","2022-08-18"
233,"CUS000233","Jessica Rodriguez","Small Business","Chicago","USA","2025-09-18"
234,"CUS000234","Jill Lam","Consumer","Madrid","Spain","2020-09-26"
235,"CUS000235","Charles Martinez","Consumer","Glasgow","United Kingdom","2023-02-12"
236,"CUS000236","Lauren Joseph","Corporate","Cork","Ireland","2019-03-18"
237,"CUS000237","Kyle Phillips","Small Business","Munich","Germany","2021-09-05"
238,"CUS000238","Jessica Mcguire","Corporate","Nottingham","United Kingdom","2025-01-16"
239,"CUS000239","Matthew Rich","Consumer","New York","USA","2024-07-30"
240,"CUS000240","Sharon Jordan","Corporate","New York","USA","2022-08-14"
241,"CUS000241","Jennifer Wilcox","Consumer","Manchester","United Kingdom","2024-11-13"
242,"CUS000242","Nicholas Edwards","Small Business","Paris","France","2020-06-15"
243,"CUS000243","David Mckay","Consumer","Nottingham","United Kingdom","2024-06-11"
244,"CUS000244","Kara Davis","Corporate","Nottingham","United Kingdom","2023-05-11"
245,"CUS000245","Jeffrey Garner","Consumer","Lyon","France","2021-06-23"
246,"CUS000246","Carlos Brown","Consumer","Berlin","Germany","2021-05-04"
247,"CUS000247","Kristina Santiago","Consumer","Paris","France","2019-09-06"
248,"CUS000248","Shane Pugh","Online Reseller","Bristol","United Kingdom","2023-08-31"
249,"CUS000249","Thomas Williams","Consumer","Austin","USA","2025-12-01"
250,"CUS000250","Erik Garcia","Corporate","Nottingham","United Kingdom","2022-05-29"
251,"CUS000251","Brittney Olson","Online Reseller","London","United Kingdom","2020-02-02"
252,"CUS000252","Hayley Hawkins","Consumer","London","United Kingdom","2021-02-15"
253,"CUS000253","Donald Perez","Consumer","Bristol","United Kingdom","2021-01-02"
254,"CUS000254","Justin Saunders","Consumer","Hamburg","Germany","2020-03-08"
255,"CUS000255","Megan Hawkins","Consumer","Austin","USA","2024-02-22"
256,"CUS000256","Mary Steele","Small Business","Lyon","France","2020-11-14"
257,"CUS000257","Donald Farmer","Consumer","Austin","USA","2022-10-14"
258,"CUS000258","Heather White","Online Reseller","Lyon","France","2022-07-14"
259,"CUS000259","Matthew Jones","Small Business","Munich","Germany","2023-08-16"
260,"CUS000260","Valerie Davis","Small Business","Chicago","USA","2022-08-17"
261,"CUS000261","Jamie Chavez","Consumer","Hamburg","Germany","2023-03-17"
262,"CUS000262","Eric Nguyen","Consumer","Austin","USA","2024-01-28"
263,"CUS000263","Linda Ware","Consumer","Leeds","United Kingdom","2019-05-22"
264,"CUS000264","Paul Williams","Consumer","Madrid","Spain","2022-05-21"
265,"CUS000265","Jeremy Coleman","Consumer","London","United Kingdom","2022-07-13"
266,"CUS000266","Jennifer Lewis","Online Reseller","Glasgow","United Kingdom","2022-02-04"
267,"CUS000267","Haley Rodriguez","Consumer","Madrid","Spain","2024-02-29"
268,"CUS000268","Leslie Rose","Consumer","London","United Kingdom","2025-07-12"
269,"CUS000269","Daniel Joyce","Small Business","Manchester","United Kingdom","2020-01-12"
270,"CUS000270","Dan Dougherty","Small Business","Hamburg","Germany","2019-11-13"
271,"CUS000271","Pamela Roberts","Consumer","Chicago","USA","2025-06-18"
272,"CUS000272","Jonathan Jordan","Corporate","New York","USA","2022-05-15"
273,"CUS000273","Joseph Hall","Corporate","Glasgow","United Kingdom","2019-11-18"
274,"CUS000274","Mary Gomez","Consumer","Chicago","USA","2023-11-14"
275,"CUS000275","Patrick Graham","Consumer","Glasgow","United Kingdom","2021-07-17"
276,"CUS000276","Blake Edwards","Small Business","Austin","USA","2023-04-16"
277,"CUS000277","Jared Bowman","Consumer","Birmingham","United Kingdom","2025-01-20"
278,"CUS000278","Jared Burch","Consumer","Munich","Germany","2021-06-23"
279,"CUS000279","Travis Stevens","Corporate","Bristol","United Kingdom","2023-05-29"
280,"CUS000280","Heidi Kim","Consumer","Madrid","Spain","2022-04-01"
281,"CUS000281","Jeffrey Morales","Consumer","New York","USA","2019-12-05"
282,"CUS000282","Seth Reese","Consumer","Dublin","Ireland","2021-12-11"
283,"CUS000283","Richard Jones","Consumer","Birmingham","United Kingdom","2020-06-18"
284,"CUS000284","Kerry Lee","Corporate","Chicago","USA","2024-06-21"
285,"CUS000285","Heather Mullen","Consumer","Birmingham","United Kingdom","2025-11-28"
286,"CUS000286","Brittany Garcia","Consumer","Madrid","Spain","2021-12-26"
287,"CUS000287","Christopher Hernandez","Corporate","Chicago","USA","2025-06-17"
288,"CUS000288","Angela Bean","Consumer","Bristol","United Kingdom","2023-02-05"
289,"CUS000289","Julie Elliott","Consumer","Manchester","United Kingdom","2019-04-10"
290,"CUS000290","Melanie Macias","Online Reseller","New York","USA","2025-11-29"
291,"CUS000291","Victoria Morris","Corporate","Chicago","USA","2023-12-10"
292,"CUS000292","Emily Gonzales","Consumer","Glasgow","United Kingdom","2023-03-12"
293,"CUS000293","Mark Hogan","Small Business","Bristol","United Kingdom","2020-04-05"
294,"CUS000294","Heather Jones","Online Reseller","New York","USA","2020-08-27"
295,"CUS000295","Andrew Wood","Consumer","Rotterdam","Netherlands","2020-03-31"
296,"CUS000296","Matthew Madden","Consumer","Leeds","United Kingdom","2021-05-06"
297,"CUS000297","Kirk Cruz","Consumer","New York","USA","2024-11-13"
298,"CUS000298","Tiffany Stevenson","Consumer","Austin","USA","2020-08-01"
299,"CUS000299","Terry Armstrong","Consumer","Paris","France","2024-11-27"
300,"CUS000300","Larry Mason","Consumer","London","United Kingdom","2021-04-02"
301,"CUS000301","Joanna Shepherd","Consumer","Austin","USA","2024-03-19"
302,"CUS000302","Vickie Miller","Consumer","Paris","France","2022-01-16"
303,"CUS000303","Amanda Zimmerman","Small Business","Lyon","France","2019-03-20"
304,"CUS000304","Kelly Bishop MD","Consumer","Bristol","United Kingdom","2023-04-09"
305,"CUS000305","Jasmine Schroeder","Small Business","Dublin","Ireland","2024-06-08"
306,"CUS000306","Amy Mccoy","Consumer","Amsterdam","Netherlands","2024-08-12"
307,"CUS000307","Gary Grant","Consumer","Madrid","Spain","2024-12-08"
308,"CUS000308","David York","Consumer","Leeds","United Kingdom","2020-10-05"
309,"CUS000309","Lindsey Hernandez","Consumer","Bristol","United Kingdom","2022-05-23"
310,"CUS000310","Matthew Rangel","Consumer","Birmingham","United Kingdom","2019-09-11"
311,"CUS000311","Matthew Bates","Small Business","Munich","Germany","2019-05-01"
312,"CUS000312","Michael Miller","Consumer","Barcelona","Spain","2022-10-31"
313,"CUS000313","Maria Murphy","Consumer","Amsterdam","Netherlands","2023-04-15"
314,"CUS000314","Michael Valentine","Consumer","Dublin","Ireland","2025-06-04"
315,"CUS000315","Susan Davis DDS","Small Business","Manchester","United Kingdom","2022-09-10"
316,"CUS000316","Alicia Parker","Consumer","London","United Kingdom","2020-07-21"
317,"CUS000317","Gloria Miranda","Small Business","Hamburg","Germany","2020-07-19"
318,"CUS000318","Zachary Moore","Small Business","Bristol","United Kingdom","2020-07-07"
319,"CUS000319","Richard Romero","Consumer","Glasgow","United Kingdom","2025-05-02"
320,"CUS000320","Nancy Rose","Consumer","Barcelona","Spain","2024-12-23"
321,"CUS000321","Sherri Williamson","Consumer","Madrid","Spain","2020-08-19"
322,"CUS000322","Brittany White","Small Business","Chicago","USA","2023-08-23"
323,"CUS000323","Lori Orr","Consumer","Barcelona","Spain","2022-01-26"
324,"CUS000324","Amanda Diaz","Consumer","London","United Kingdom","2021-01-26"
325,"CUS000325","Tracy Bishop","Corporate","Birmingham","United Kingdom","2025-10-16"
326,"CUS000326","Rachel Young","Corporate","Berlin","Germany","2021-08-03"
327,"CUS000327","Vincent Mueller","Consumer","Lyon","France","2024-05-06"
328,"CUS000328","Cheyenne Gregory","Corporate","Glasgow","United Kingdom","2023-03-12"
329,"CUS000329","Jessica Hammond","Consumer","Leeds","United Kingdom","2020-07-17"
330,"CUS000330","Kathryn Barnes","Consumer","London","United Kingdom","2019-03-03"
331,"CUS000331","Curtis Jacobs","Consumer","Barcelona","Spain","2021-04-10"
332,"CUS000332","Amy Castillo","Consumer","New York","USA","2023-12-05"
333,"CUS000333","Timothy Dawson","Corporate","Rotterdam","Netherlands","2024-02-18"
334,"CUS000334","Belinda Miller","Consumer","Rotterdam","Netherlands","2019-06-21"
335,"CUS000335","Jerry Palmer","Corporate","Munich","Germany","2023-06-03"
336,"CUS000336","Anna Lozano","Corporate","Hamburg","Germany","2025-01-05"
337,"CUS000337","Stacey Arias","Consumer","Dublin","Ireland","2024-01-24"
338,"CUS000338","James Brooks","Small Business","Dublin","Ireland","2021-10-03"
339,"CUS000339","Brad Walker","Online Reseller","Cork","Ireland","2019-06-10"
340,"CUS000340","Brett Espinoza","Small Business","Hamburg","Germany","2019-07-21"
341,"CUS000341","Charles Johnson","Consumer","Leeds","United Kingdom","2022-06-01"
342,"CUS000342","Kaitlyn Guerra","Consumer","Chicago","USA","2023-09-27"
343,"CUS000343","Julie Gilbert","Corporate","Nottingham","United Kingdom","2020-08-05"
